ID,MODEL,EXPERIMENT_START_DATE,EXPERIMENT_END_DATE,MODEL_WORK_TIME,SAVE_DATA_TO_SNOWFLAKE_TIME,EXPERIMENT_TIME_TOTAL,ROWS_PROCESSED,INPUT_DF_VOLUME,PROMPT_VOLUME,OUTPUT_VOLUME,OUTPUT_DF_VOLUME,CORRECTNESS
1,gpt-3.5-turbo,2024-September-02 04:41:29,2024-September-02 04:41:34,0.89274025,3.142643213,5.047366381,5,5,436,103,95,100.00%
2,gpt-3.5-turbo,2024-September-02 04:48:48,2024-September-02 04:48:53,0.924196482,2.918943644,5.182610512,5,5,436,102,95,100.00%
3,gpt-3.5-turbo,2024-September-02 04:54:10,2024-September-02 04:54:15,0.919811726,3.153245449,4.945777893,5,5,437,103,95,100.00%
4,gpt-3.5-turbo,2024-September-02 04:56:55,2024-September-02 04:57:00,0.94168973,2.90131402,4.775088787,5,5,436,103,95,100.00%
5,gpt-3.5-turbo,2024-September-02 04:59:22,2024-September-02 04:59:27,1.138645887,2.758116484,4.845000982,5,5,436,182,95,100.00%
6,gpt-3.5-turbo,2024-September-02 05:01:15,2024-September-02 05:01:20,1.018113852,3.082824707,5.052885294,5,5,436,101,95,100.00%
7,gpt-3.5-turbo,2024-September-02 05:01:49,2024-September-02 05:01:54,0.99991107,2.86605978,4.685655117,5,5,436,102,95,100.00%
8,gpt-3.5-turbo,2024-September-02 05:02:18,2024-September-02 05:02:22,0.909655571,2.816785574,4.642193317,5,5,437,100,95,100.00%
9,gpt-3.5-turbo,2024-September-02 05:02:37,2024-September-02 05:02:42,0.90790081,2.813659668,4.696100712,5,5,437,102,95,100.00%
10,gpt-3.5-turbo,2024-September-02 05:02:59,2024-September-02 05:03:03,0.967983246,2.820616484,4.645842075,5,5,437,102,95,100.00%
11,gpt-4,2024-September-02 05:07:34,2024-September-02 05:07:40,2.87757349,2.968610764,6.7461586,5,5,436,153,95,100.00%
12,gpt-4,2024-September-02 05:09:14,2024-September-02 05:09:21,3.208870173,2.904798031,7.052298784,5,5,434,178,95,100.00%
13,gpt-4,2024-September-02 05:16:00,2024-September-02 05:16:07,3.551296949,2.77209115,7.193018436,5,5,437,129,95,100.00%
14,gpt-4,2024-September-02 05:22:08,2024-September-02 05:22:14,2.610647678,2.987418413,6.460294962,5,5,437,125,95,100.00%
15,gpt-4,2024-September-02 05:22:29,2024-September-02 05:22:36,2.736338377,2.920371294,6.568028212,5,5,435,123,95,100.00%
16,gpt-4,2024-September-02 05:22:47,2024-September-02 05:22:55,4.219812393,2.745456696,7.837152958,5,5,437,122,95,100.00%
17,gpt-4,2024-September-02 05:23:06,2024-September-02 05:23:12,2.893050432,2.689987898,6.497485161,5,5,437,103,95,100.00%
18,gpt-4,2024-September-02 05:23:22,2024-September-02 05:23:29,3.696793318,2.833030701,7.477716684,5,5,436,181,95,100.00%
19,gpt-4,2024-September-02 05:30:42,2024-September-02 05:30:49,2.980634928,3.011373758,6.985903978,5,5,436,153,95,100.00%
20,gpt-4,2024-September-02 05:31:05,2024-September-02 05:31:11,2.441426516,2.721247196,6.056310892,5,5,434,101,95,100.00%
21,gpt-4,2024-September-02 06:44:30,2024-September-02 06:44:38,3.290854931,3.49088645,7.888292074,5,5,437,100,95,100.00%
22,mistral-small,2024-September-02 06:44:53,2024-September-02 06:44:58,0.849954128,3.148468018,4.810857296,5,5,799,62,95,100.00%
23,mistral-small,2024-September-02 06:45:11,2024-September-02 06:45:16,0.827847004,2.743232727,4.688378811,5,5,798,59,95,100.00%
24,mistral-small,2024-September-02 06:45:26,2024-September-02 06:45:31,1.059256792,2.873651266,4.846730232,5,5,798,64,95,100.00%
25,mistral-small,2024-September-02 06:55:50,2024-September-02 06:55:55,0.88224411,2.90258193,4.688975811,5,5,798,53,95,100.00%
26,mistral-small,2024-September-02 06:56:11,2024-September-02 06:56:17,2.08450675,2.70837903,5.718429327,5,5,799,133,107,100.00%
27,mistral-small,2024-September-02 07:07:16,2024-September-02 07:07:23,2.446182251,3.01482749,6.602023602,10,10,852,225,197,100.00%
28,mistral-small,2024-September-02 07:07:39,2024-September-02 07:07:44,0.855792522,2.874600649,4.726952076,5,5,799,55,95,100.00%
29,mistral-small,2024-September-02 07:07:56,2024-September-02 07:08:01,0.878584623,3.026083708,4.828046322,5,5,796,56,95,80.00%
30,mistral-small,2024-September-02 07:08:10,2024-September-02 07:08:15,1.013793945,2.904639006,4.926000118,5,5,798,57,95,100.00%
31,mistral-small,2024-September-02 07:08:25,2024-September-02 07:08:29,0,0,3.784214735,5,0,0,0,0,0
32,gemini-1.5-flash,2024-September-02 07:09:46,2024-September-02 07:09:51,0.80380702,2.946412086,4.659207582,5,5,799,52,95,100.00%
33,gemini-1.5-flash,2024-September-02 07:10:04,2024-September-02 07:10:08,0.745020628,2.737431288,4.583352566,5,5,799,46,95,100.00%
34,gemini-1.5-flash,2024-September-02 07:10:21,2024-September-02 07:10:25,0.792040587,2.985553265,4.747826338,5,5,799,45,95,80.00%
35,gemini-1.5-flash,2024-September-02 07:10:33,2024-September-02 07:10:41,3.702514887,2.747430563,7.369118929,5,5,798,45,95,100.00%
36,gemini-1.5-flash,2024-September-02 07:10:50,2024-September-02 07:10:55,0.684304714,2.818423748,4.43116188,5,5,797,44,95,100.00%
37,gemini-1.5-flash,2024-September-02 07:11:09,2024-September-02 07:11:14,0.654044867,2.799092531,4.39750123,5,5,798,47,95,100.00%
38,gemini-1.5-flash,2024-September-02 07:11:22,2024-September-02 07:11:26,0.690767288,2.731141329,4.305949926,5,5,798,46,95,100.00%
39,gemini-1.5-flash,2024-September-02 07:11:34,2024-September-02 07:11:38,0.7673738,2.731074095,4.30630517,5,5,797,45,95,100.00%
